time, pressure
18.8952, 0.3502
18.9972, 0.3502
19.097, 0.7393
19.1968, -0.9728
19.2987, 0.5837
19.3984, 0.8949
19.4988, -0.8949
19.5986, -1.0506
19.7004, 0.7393
19.8004, 0.5058
19.9006, 0.5837
20.0011, -0.8171
20.103, 0.5058
20.2027, 0.5837
20.3025, 0.428
20.4044, 0.5058
20.5043, 0.7393
20.6041, 0.5837
20.706, 0.5837
20.8058, 0.428
20.9063, 0.5058
21.0063, 0.428
21.1066, 0.428
21.2086, 0.428
21.3085, 0.6615
21.4084, 0.8171
21.5103, 0.6615
21.6101, 0.7393
21.71, 0.3502
21.8118, 0.6615
21.9123, 0.5058
22.012, 0.428
22.1119, 0.5837
22.2139, 0.5058
22.314, 0.7393
22.414, 0.428
22.5138, 0.5837
22.6157, 0.5837
22.7155, 0.5837
22.8153, -0.7393
22.9181, 0.428
23.018, 0.7393
23.1178, 0.428
23.2178, 0.428
23.3197, 0.6615
23.4196, -0.6615
23.5194, 0.2724
23.6212, 0.5058
23.721, 0.6615
23.8212, 5.7198
23.921, 18.3268
24.023, 29.6887
24.1228, 47.1984
24.2226, 66.1089
24.3245, 87.9767
24.4239, 108.677
24.5258, 131.5564
24.6257, 151.8677
24.7255, 168.2101
24.8275, 184.4747
24.9273, 196.6926
25.0272, 212.8016
25.129, 222.9961
25.2288, 232.3346
25.3286, 240.8949
25.4305, 249.2218
25.5304, 258.4047
25.6301, 265.1751
25.7321, 271.9455
25.832, 276.7704
25.9322, 284.1634
26.034, 289.6887
26.1346, 294.5136
26.2344, 299.4163
26.3342, 304.6304
26.435, 311.2451
26.5348, 316.6148
26.6365, 321.9844
26.7366, 325.642
26.836, 332.1012
26.9381, 338.249
27.0381, 346.1089
27.1381, 361.5953
27.2402, 361.8288
27.3402, 362.1401
27.4403, 362.4514
27.5403, 362.607
27.6422, 362.8405
27.7421, 363.0739
27.8425, 363.3074
27.9424, 363.5409
28.0445, 363.7743
28.1444, 364.0078
28.2444, 364.1634
28.3444, 364.3969
28.4463, 364.6304
