time, force
16.8861, -76.19955024640755
16.986, -76.15744565477425
17.0865, -76.20222962951149
17.1863, -76.1998373231687
17.2882, -76.19524409499051
17.388, -76.21945423517967
17.4878, -76.19438286470711
17.5897, -76.21715762109058
17.6896, -76.21045916333074
17.7893, -76.21945423517967
18.8952, -76.18069887242628
18.9972, -76.20797116473422
19.097, -76.23246838168451
19.1968, -76.21237300840498
19.2987, -76.17122533930879
19.3984, -76.19294748090142
19.4988, -76.217349005598
19.5986, -76.20529178163028
19.7004, -76.22825792252118
19.8004, -76.2077797802268
19.9006, -76.18050748791886
20.0011, -76.19457424921453
20.103, -76.22376038659671
20.2027, -76.20653578092853
20.3025, -76.21160747037528
20.4044, -76.20557885839142
20.5043, -76.19333024991627
20.6041, -76.20577024289884
20.706, -76.23179853590852
20.8058, -76.23935822395177
20.9063, -76.18825856046954
21.0063, -76.1998373231687
21.1066, -76.2562000606051
21.2086, -76.25476467679941
21.3085, -76.22232500279102
21.4084, -76.23533914929587
21.5103, -76.20366501331718
21.6101, -76.1705554935328
21.71, -76.20414347458573
21.8118, -76.20672716543596
21.9123, -76.24366437536882
22.012, -76.20959793304732
22.1119, -76.24079360775745
22.2139, -76.21983700419452
22.314, -76.25600867609768
22.414, -76.21821023588141
22.5138, -76.21514808376263
22.6157, -76.19438286470711
22.7155, -76.22270777180587
22.8153, -76.21830592813512
22.9181, -76.19792347809445
23.018, -76.1888327139918
23.1178, -76.19572255625907
23.2178, -76.21706192883687
23.3197, -76.19361732667741
23.4196, -76.211703162629
23.5194, -76.23514776478845
23.6212, -76.21457393024035
23.721, -76.23189422816223
23.8212, -76.60796478525064
23.921, -76.46739286454762
24.023, -76.77169423135197
24.1228, -76.86288894913957
24.2226, -76.38720275593691
24.3245, -77.16967831454045
24.4239, -76.84949203361988
24.5258, -76.74872809046109
24.6257, -76.51705714422418
24.7255, -76.81284190044816
24.8275, -77.37532096776766
24.9273, -77.828519481348
25.0272, -77.72201400296646
25.129, -77.35206775011564
25.2288, -77.35828774660692
25.3286, -77.60201591681154
25.4305, -77.9706224781104
25.5304, -78.13463900097288
25.6301, -78.35425272324206
25.7321, -78.26851246391605
25.832, -77.9983732316869
25.9322, -78.21281957225563
26.034, -78.25473277938151
26.1346, -78.43597390791216
26.2344, -78.72850512750993
26.3342, -78.49712125803417
26.435, -78.50008771789923
26.5348, -78.47922680659
26.6365, -78.55520645603738
26.7366, -78.86142166791599
26.836, -79.11050860432849
26.9381, -78.80132693258481
27.0381, -78.90055979968422
27.1381, -78.87309612286886
27.2402, -79.05969601760738
27.3402, -79.20878454889078
27.4403, -79.33959585971516
27.5403, -79.17242149248018
27.6422, -79.23730084049697
27.7421, -79.21443039185978
27.8425, -79.29538603850018
27.9424, -79.52380344811088
28.0445, -79.60026155882682
28.1444, -79.49232069663961
28.2444, -79.45547917896047
28.3444, -79.56342004114768
28.4463, -79.66820305896238
28.5462, -79.87164479035422
28.6461, -79.86953956077257
28.7482, -79.74542670770802
28.847, -79.72906333232325
28.9494, -79.8785346326215
29.0494, -80.03776654279837
29.1495, -80.15920001275897
29.2487, -80.10513388941166
29.3507, -80.08857912951947
29.4506, -80.10532527391908
29.5506, -80.20082614312372
29.6526, -80.29058547710564
29.7525, -80.38111034911725
29.8526, -80.30436516164016
29.9526, -80.31603961659305
30.0547, -80.40024879985965
30.1547, -80.43996108515016
30.2546, -80.58235115867372
30.3544, -80.6584265003748
30.4564, -80.618809907338
30.5564, -80.56742316709463
30.6564, -80.62713513341096
30.7584, -80.74952552590868
30.8586, -80.87641345433087
30.9585, -80.90033651775889
31.0585, -80.85249039090286
31.1605, -80.84674885568013
31.2605, -80.90052790226632
31.3604, -81.01488014545222
31.4603, -81.16033237109457
31.5623, -81.2669335417298
31.6628, -81.22320218178339
31.7627, -81.21947018388862
31.8633, -81.36023348909906
31.9632, -81.43917959841151
32.0632, -81.36032918135277
32.1652, -81.4581266646465
32.2651, -81.48578172596929
32.365, -81.50042264078724
32.4671, -81.58214382545734
32.5671, -81.61573180651027
32.667, -81.64195148402737
32.7671, -81.71305082853543
32.8674, -81.75515542016875
32.9693, -81.71812251798218
33.0693, -81.76338495398798
33.1692, -81.8658713577136
33.2713, -81.89955503102024
33.3713, -81.97381221990081
33.4713, -81.94472177477233
33.5713, -82.01572542702668
33.6733, -82.06653801374779
33.7733, -82.11763767723004
33.8733, -82.18423948581363
33.9734, -82.19103363582718
34.0761, -82.19572255625907
34.1741, -82.29610373040303
34.2761, -82.30404618746113
34.376, -82.38500183410153
34.4759, -82.43983349547855
34.5779, -82.53801374778712
34.6778, -82.56203250346884
34.7777, -82.54165005342819
34.8779, -82.61629001132358
34.9804, -82.64633737898917
35.0805, -82.70403980797755
35.1805, -82.7606896221751
35.2806, -82.78298591729
35.3805, -82.78729206870705
35.4825, -82.88566370552304
35.5824, -82.94738520916732
35.6822, -82.95762428031452
35.7843, -82.99035103108403
35.8844, -83.03456085229901
35.9849, -83.04518269246105
36.0848, -83.11274142358177
36.1848, -83.2177158259039
36.2848, -83.2590548795075
36.3871, -83.28919793942681
36.4878, -83.31714007751073
36.5876, -83.30450870002073
36.6876, -83.41110987065598
36.7878, -83.46421907146618
36.8885, -83.45417138482641
36.9887, -83.51493596593356
37.0908, -83.53732795330218
37.1908, -83.59589161257396
37.2907, -83.62574759573214
37.3906, -83.66727803384316
37.4926, -83.71244477759525
37.5925, -83.7476595269613
37.6925, -83.81033795314269
37.7946, -83.86536099902713
37.8949, -83.90698712939188
37.9949, -83.88746590963461
38.0949, -83.9111018963015
38.195, -83.9547375639942
38.297, -84.0355975183809
38.3969, -84.0238273711743
38.4967, -84.08707995087798
38.5966, -84.13262946364492
38.6986, -84.17167190315945
38.7985, -84.22640787228275
38.8989, -84.25205339627757
38.9982, -84.2633450822156
39.1004, -84.30372721328209
39.2004, -84.40200315784438
39.3004, -84.39118993317491
39.4023, -84.41989760928853
39.5022, -84.47779142278434
39.6021, -84.50793448270363
39.704, -84.56142645252868
39.8038, -84.56927321733306
39.9039, -84.6179805744725
40.0061, -84.65032455622718
40.1061, -84.70085006618714
40.2059, -84.70668729366358
40.3058, -84.76037064799606
40.4078, -84.81989122980495
40.5076, -84.83520199039889
40.6074, -84.87204350807802
40.7093, -84.90907641026459
40.8091, -84.95653976810577
40.9091, -84.98084560054863
41.0111, -84.9892665188753
41.1111, -85.02476834500247
41.2111, -85.11825967687916
41.3111, -85.1248624423853
41.4125, -85.1264892106984
41.5124, -85.14151289453119
41.6124, -85.19012455941692
41.7143, -85.22285131018644
41.8143, -85.24332945248082
41.9144, -85.26323344125294
42.0143, -85.29806542160412
42.1164, -85.37193984146984
42.2165, -85.37433214781264
42.3166, -85.47203393885266
42.4164, -85.46256040573516
42.5181, -85.46753640292819
42.6178, -85.52303791008119
42.7195, -85.54275051434587
42.8191, -85.56054927353631
42.9192, -85.59987878981197
43.0209, -85.64150492017671
43.1206, -85.68935104703274
43.2225, -85.65298799062217
43.3222, -85.74657501475257
43.4218, -85.77336884579194
43.5235, -85.81566482193267
43.6233, -85.80896636417283
43.725, -85.87729063332324
43.8239, -85.83126265928773
43.9259, -85.86791279245945
44.0257, -85.91556753480806
44.1255, -85.92542383694041
44.2274, -85.97719334619863
44.3273, -85.96810258209598
44.4273, -86.0380536195595
44.5293, -86.04752715267699
44.6296, -86.0562351477648
44.7297, -86.07872282738712
44.8296, -86.11307634646975
44.9299, -86.16532431699655
45.0321, -86.17489354236776
45.1322, -86.18790768887258
45.232, -86.24561011786096
45.332, -86.23604089248975
45.434, -86.2592941101418
45.5339, -86.31001100460918
45.6337, -86.34809652158658
45.7358, -86.34618267651234
45.8356, -86.39546418717406
45.9356, -86.36426851246392
46.0376, -86.47374045071052
46.1376, -86.47890783241097
46.2369, -86.49804628315339
46.3389, -86.50484043316693
46.4392, -86.55335640579895
46.5392, -86.57259054879508
46.6391, -86.59287730658204
46.7411, -86.61670467775635
46.8411, -86.62225482847164
46.9413, -86.65144096585382
47.0411, -86.69440678777053
47.1432, -86.72024369627279
47.2432, -86.76655874706942
47.3431, -86.81038579926955
47.4431, -86.80464426404683
47.5452, -86.81679718026827
47.6451, -86.7678984386214
47.7449, -86.82923717325083
47.8469, -86.83086394156393
47.9472, -86.83899778312946
48.0471, -86.92071896779956
48.1471, -86.92636481076858
